REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2019,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2020,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2021,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2022,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2023,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2024,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2025,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2026,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2027,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2028,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2029,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2030,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2031,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2032,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2033,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2034,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2035,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2036,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2037,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2038,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2039,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2040,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2041,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2042,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2043,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2044,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2045,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2046,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2047,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2048,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2049,3.957
NAmerica,PWRBIOUSAAL01,BIOUSAAL,1,2050,3.957
NAmerica,PWRBIOUSACA01,BIOUSACA,1,2019,3.957
NAmerica,PWRBIOUSACA01,BIOUSACA,1,2020,3.957
NAmerica,PWRBIOUSACA01,BIOUSACA,1,2021,3.957
NAmerica,PWRBIOUSACA01,BIOUSACA,1,2022,3.957
NAmerica,PWRBIOUSACA01,BIOUSACA,1,2023,3.957
