REGION,FUEL,YEAR,VALUE
NAmerica,ELCCANWS02,2019,523.78
NAmerica,ELCCANWS02,2020,506.29
NAmerica,ELCCANWS02,2021,538.35
NAmerica,ELCCANWS02,2022,553.14
NAmerica,ELCCANWS02,2023,568.35
NAmerica,ELCCANWS02,2024,585.63
NAmerica,ELCCANWS02,2025,599.43
NAmerica,ELCCANWS02,2026,614.48
NAmerica,ELCCANWS02,2027,625.55
NAmerica,ELCCANWS02,2028,636.23
NAmerica,ELCCANWS02,2029,645.5
NAmerica,ELCCANWS02,2030,658.22
NAmerica,ELCCANWS02,2031,672.85
NAmerica,ELCCANWS02,2032,686.63
NAmerica,ELCCANWS02,2033,697.27
NAmerica,ELCCANWS02,2034,706.31
NAmerica,ELCCANWS02,2035,715.07
NAmerica,ELCCANWS02,2036,722.61
NAmerica,ELCCANWS02,2037,729.96
NAmerica,ELCCANWS02,2038,740.14
NAmerica,ELCCANWS02,2039,750.99
NAmerica,ELCCANWS02,2040,757.69
NAmerica,ELCCANWS02,2041,764.29
NAmerica,ELCCANWS02,2042,769.27
NAmerica,ELCCANWS02,2043,778.37
NAmerica,ELCCANWS02,2044,787.31
NAmerica,ELCCANWS02,2045,792.8
NAmerica,ELCCANWS02,2046,797.77
NAmerica,ELCCANWS02,2047,802.6
NAmerica,ELCCANWS02,2048,807.34
NAmerica,ELCCANWS02,2049,812.3
NAmerica,ELCCANWS02,2050,816.81
NAmerica,ELCCANMW02,2019,161.97
NAmerica,ELCCANMW02,2020,152.69
NAmerica,ELCCANMW02,2021,161.14
NAmerica,ELCCANMW02,2022,163.5
NAmerica,ELCCANMW02,2023,165.08
NAmerica,ELCCANMW02,2024,167.18
NAmerica,ELCCANMW02,2025,169.0
NAmerica,ELCCANMW02,2026,171.34
NAmerica,ELCCANMW02,2027,173.56
NAmerica,ELCCANMW02,2028,175.75
NAmerica,ELCCANMW02,2029,177.92
NAmerica,ELCCANMW02,2030,179.93
NAmerica,ELCCANMW02,2031,182.04
NAmerica,ELCCANMW02,2032,183.99
NAmerica,ELCCANMW02,2033,185.93
NAmerica,ELCCANMW02,2034,187.77
NAmerica,ELCCANMW02,2035,189.42
NAmerica,ELCCANMW02,2036,190.81
NAmerica,ELCCANMW02,2037,192.19
NAmerica,ELCCANMW02,2038,193.6
NAmerica,ELCCANMW02,2039,195.03
NAmerica,ELCCANMW02,2040,196.37
NAmerica,ELCCANMW02,2041,197.7
NAmerica,ELCCANMW02,2042,199.12
NAmerica,ELCCANMW02,2043,200.58
NAmerica,ELCCANMW02,2044,202.11
NAmerica,ELCCANMW02,2045,203.69
NAmerica,ELCCANMW02,2046,205.17
NAmerica,ELCCANMW02,2047,206.65
NAmerica,ELCCANMW02,2048,208.01
NAmerica,ELCCANMW02,2049,209.44
NAmerica,ELCCANMW02,2050,210.73
NAmerica,ELCCANOT02,2019,513.59
NAmerica,ELCCANOT02,2020,468.78
NAmerica,ELCCANOT02,2021,495.26
NAmerica,ELCCANOT02,2022,499.56
NAmerica,ELCCANOT02,2023,501.23
NAmerica,ELCCANOT02,2024,504.17
NAmerica,ELCCANOT02,2025,508.49
NAmerica,ELCCANOT02,2026,511.33
NAmerica,ELCCANOT02,2027,515.46
NAmerica,ELCCANOT02,2028,518.91
NAmerica,ELCCANOT02,2029,522.78
NAmerica,ELCCANOT02,2030,526.29
NAmerica,ELCCANOT02,2031,530.23
NAmerica,ELCCANOT02,2032,534.44
NAmerica,ELCCANOT02,2033,538.55
NAmerica,ELCCANOT02,2034,542.33
NAmerica,ELCCANOT02,2035,546.19
NAmerica,ELCCANOT02,2036,549.71
NAmerica,ELCCANOT02,2037,553.2
NAmerica,ELCCANOT02,2038,556.86
NAmerica,ELCCANOT02,2039,560.55
NAmerica,ELCCANOT02,2040,564.36
NAmerica,ELCCANOT02,2041,568.42
NAmerica,ELCCANOT02,2042,572.58
NAmerica,ELCCANOT02,2043,576.95
NAmerica,ELCCANOT02,2044,581.63
NAmerica,ELCCANOT02,2045,586.29
NAmerica,ELCCANOT02,2046,590.8
NAmerica,ELCCANOT02,2047,595.34
NAmerica,ELCCANOT02,2048,599.93
NAmerica,ELCCANOT02,2049,604.64
NAmerica,ELCCANOT02,2050,609.23
NAmerica,ELCCANQC02,2019,649.79
NAmerica,ELCCANQC02,2020,625.64
NAmerica,ELCCANQC02,2021,640.4
NAmerica,ELCCANQC02,2022,649.62
NAmerica,ELCCANQC02,2023,655.05
NAmerica,ELCCANQC02,2024,663.65
NAmerica,ELCCANQC02,2025,670.54
NAmerica,ELCCANQC02,2026,678.37
NAmerica,ELCCANQC02,2027,686.7
NAmerica,ELCCANQC02,2028,695.99
NAmerica,ELCCANQC02,2029,705.24
NAmerica,ELCCANQC02,2030,715.14
NAmerica,ELCCANQC02,2031,725.59
NAmerica,ELCCANQC02,2032,736.17
NAmerica,ELCCANQC02,2033,745.72
NAmerica,ELCCANQC02,2034,754.31
NAmerica,ELCCANQC02,2035,762.25
NAmerica,ELCCANQC02,2036,769.35
NAmerica,ELCCANQC02,2037,776.24
NAmerica,ELCCANQC02,2038,783.4
NAmerica,ELCCANQC02,2039,790.89
NAmerica,ELCCANQC02,2040,796.51
NAmerica,ELCCANQC02,2041,802.26
NAmerica,ELCCANQC02,2042,807.9
NAmerica,ELCCANQC02,2043,813.57
NAmerica,ELCCANQC02,2044,819.81
NAmerica,ELCCANQC02,2045,825.7
NAmerica,ELCCANQC02,2046,828.13
NAmerica,ELCCANQC02,2047,833.48
NAmerica,ELCCANQC02,2048,836.25
NAmerica,ELCCANQC02,2049,841.34
NAmerica,ELCCANQC02,2050,844.53
NAmerica,ELCCANAT02,2019,131.76
NAmerica,ELCCANAT02,2020,124.96
NAmerica,ELCCANAT02,2021,129.17
NAmerica,ELCCANAT02,2022,130.04
NAmerica,ELCCANAT02,2023,130.29
NAmerica,ELCCANAT02,2024,131.13
NAmerica,ELCCANAT02,2025,131.43
NAmerica,ELCCANAT02,2026,131.74
NAmerica,ELCCANAT02,2027,132.14
NAmerica,ELCCANAT02,2028,132.61
NAmerica,ELCCANAT02,2029,133.14
NAmerica,ELCCANAT02,2030,133.53
NAmerica,ELCCANAT02,2031,133.98
NAmerica,ELCCANAT02,2032,134.38
NAmerica,ELCCANAT02,2033,134.73
